iter	RMSE
0	50106675.45
1	49272462.4
2	48476210.66
3	47731715.95
4	47029156.32
5	46376170
6	45765604.22
7	45174171.2
8	44651255.53
9	44129536.45
10	43684409.99
11	43232851.5
12	42844207.28
13	42464578.8
14	42124293.92
15	41780249.38
16	41511775.11
17	41236308.06
18	40962366.56
19	40730251.8
20	40491683.11
21	40285241.46
22	40098319.12
23	39928550.72
24	39766321.9
25	39613878.92
26	39428508.46
27	39209937.89
28	39087026.78
29	38951742.11
30	38823942.36
31	38725480.96
32	38581283.25
33	38466209.49
34	38349995.94
35	38261224.73
36	38192567.91
37	38056721.15
38	37957274.78
39	37865219.55
40	37799415.06
41	37708719.18
42	37652072.72
43	37575179.62
44	37504332.09
45	37426570.01
46	37301291.74
47	37197628.08
48	37129882.61
49	37081925.11
50	37015702.33
51	36978156.92
52	36882053.31
53	36847024.54
54	36764992.05
55	36659249.57
56	36619671.42
57	36566739.08
58	36541821.95
59	36505648.29
60	36478366.37
61	36382462.55
62	36327761.89
63	36267407.36
64	36234670.3
65	36214274.4
66	36189177.22
67	36162077.74
68	36147231.61
69	36132287.95
70	36110661.42
71	36085923.58
72	36054423.2
73	36034899.67
74	35998073.42
75	35981855.66
76	35921717.88
77	35840070.57
78	35816501.67
79	35783369.53
80	35752758.33
81	35734534.14
82	35712283.18
83	35692606.49
84	35677771.58
85	35662237.04
86	35644061
87	35627113.45
88	35572626.82
89	35559602.75
90	35547672.57
91	35519070.16
92	35514501.72
93	35508317.99
94	35471231.9
95	35448557.99
96	35342867.27
97	35264677.49
98	35252634.38
99	35244089.75
100	35228092.56
101	35169720.18
102	35153147.86
103	35116938.6
104	35081834.07
105	35061617.02
106	35047893.34
107	35045671.98
108	35036475.74
109	35020327.57
110	35014512.27
111	34981599.21
112	34939348.56
113	34928587.95
114	34909279.45
115	34904140.35
116	34806947.5
117	34802972.65
118	34798886.93
119	34741008.25
120	34735888.04
121	34723572.38
122	34718227.02
123	34698553.72
124	34626095.45
125	34624514.7
126	34586289.07
127	34562209.78
128	34558089.43
129	34555986.35
130	34523642.84
131	34514868.71
132	34507220.36
133	34507126.99
134	34475864.6
135	34472437.87
136	34457772.69
137	34440903.72
138	34410545.72
139	34408979
140	34404995.86
141	34404923.76
142	34395274.3
143	34392853.86
144	34386326.15
145	34381839.41
146	34381759.31
147	34320397.68
148	34301144.63
149	34295699.33
150	34131693.41
151	34129834.25
152	34121045.57
153	34115011.13
154	34110332.14
155	34059187.63
156	34032250.07
157	34013437.23
158	34004999.62
159	34000621.18
160	33998121.37
161	33990919.09
162	33960427.98
163	33958427.55
164	33904292.48
165	33897695.53
166	33862725.89
167	33834112.27
168	33804223.08
169	33776711.94
170	33762812.32
171	33761255.55
172	33688794.08
173	33686697.27
174	33656675.08
175	33625806.25
176	33621897.04
177	33613250.99
178	33610739.07
179	33608778.59
180	33603194.04
181	33580594.33
182	33504677.69
183	33504448.11
184	33458500.7
185	33457138.11
186	33448899.91
187	33447917.76
188	33424557.13
189	33421670.56
190	33393545.07
191	33381175.75
192	33353654.01
193	33350866.79
194	33336398.13
195	33329642.28
196	33322341.44
197	33320660.59
198	33278356.78
199	33272325.15
200	33201384.71
201	33193426.14
202	33148423.44
203	33125271.27
204	33122957.64
205	33037820.43
206	33030519.07
207	33029998.61
208	33018936.5
209	32980133.34
210	32943838.04
211	32940583.71
212	32902051.69
213	32895638.2
214	32835759.54
215	32827335.57
216	32713875.43
217	32706351.69
218	32699540.82
219	32693318.07
220	32666950.2
221	32654969.66
222	32629204.67
223	32624841.01
224	32471999.44
225	32398830.68
226	32250188.34
227	32245921.02
228	32231064.87
229	32228883.17
230	32217993.89
231	32190396.83
232	32190371.39
233	32131078.35
234	32055409.58
235	31980957.81
236	31973161.46
237	31948359.23
238	31940475.96
239	31923125.85
240	31911964.84
241	31768194.48
242	31734171.75
243	31688142.6
244	31686249.11
245	31667479.98
246	31595776.21
247	31542171.96
248	31472679.44
249	31458638.86
250	31371360.93
251	31363438.01
252	31361433.16
253	31307592.01
254	31304749.21
255	31272284.41
256	31216746.12
257	31077981.95
258	30942454.04
259	30810143.23
260	30758208.2
261	30755384.94
262	30752682.87
263	30748965.85
264	30746256.62
265	30729131.58
266	30725692.31
267	30722308.03
268	30703546.31
269	30653475.73
270	30651861.81
271	30608880.33
272	30604396.31
273	30476057.64
274	30474142.63
275	30468422.81
276	30342691.53
277	30339588.45
278	30333908.04
279	30320013.24
280	30317494.29
281	30196152.86
282	30176957.74
283	30171507.15
284	30144960.16
285	30024618.9
286	29998644.71
287	29989787.21
288	29872209.27
289	29866142.95
290	29863470.87
291	29855848.81
292	29847098.44
293	29780157.89
294	29777847
295	29710038.74
296	29683911.34
297	29569588.17
298	29545269.52
299	29520360.71
300	29408481.68
301	29398721.69
302	29289383.7
303	29275770.73
304	29267694.04
305	29266307.99
306	29201020.76
307	29094098.71
308	28989370.75
309	28925438.86
310	28822888.85
311	28722692.57
312	28721352.14
313	28719417.77
314	28678563.92
315	28581419.88
316	28580170.51
317	28567286.1
318	28566086.54
319	28562427.5
320	28558645.18
321	28557534.79
322	28556130.01
323	28552277.88
324	28457265.57
325	28456226.38
326	28455231.9
327	28439671.4
328	28430660.01
329	28427184.98
330	28360311.14
331	28267180.85
332	28230123.19
333	28223374.38
334	28160799.67
335	28078266.44
336	28070645.69
337	28064359.87
338	28061085.85
339	28052883.03
340	27962053.95
341	27873323.15
342	27853439.84
343	27828013.29
344	27741959.1
345	27680341.33
346	27595757.21
347	27549876.74
348	27545593.31
349	27535426.65
350	27452638.25
351	27445197.39
352	27419138.78
353	27376015.72
354	27317215.83
355	27316316.78
356	27312763.11
357	27309070.61
358	27279706.06
359	27222322.07
360	27206264.25
361	27188462.87
362	27132370.26
363	27129667.92
364	27108685.57
365	27098765.74
366	27044212.51
367	27028623.01
368	26946540.99
369	26866361.21
370	26850140.79
371	26844198.29
372	26827642.68
373	26824555.15
374	26746123.89
375	26733189.98
376	26724207.81
377	26713254.98
378	26632843.3
379	26555987.23
380	26480918.16
381	26476547.03
382	26441646.4
383	26432164.51
384	26378533.98
385	26369119.73
386	26343531.51
387	26327106.06
388	26301498.9
389	26222632.23
390	26205783.31
391	26153656.82
392	26129118.88
393	26124136.64
394	26121456.74
395	26078649.76
396	26054675.56
397	26022818.27
398	26014074.4
399	25988700.14
400	25981139.08
401	25934135.48
402	25931688.61
403	25857888.67
404	25850018.24
405	25837550.44
406	25824356.82
407	25773185.34
408	25760567.61
409	25756093.72
410	25683931.36
411	25674737.81
412	25604235.75
413	25597858.3
414	25593465.35
415	25585386.67
416	25581482.23
417	25504441.46
418	25485518.08
419	25482863.72
420	25479806.53
421	25471515.16
422	25443751.69
423	25406639.1
424	25398842.14
425	25372161.42
426	25369360.78
427	25359178.96
428	25290655.58
429	25285476.54
430	25260853.32
431	25249449.77
432	25235600.69
433	25222433.42
434	25217924.02
435	25215430.45
436	25148422.92
437	25082201.92
438	25072956.17
439	25070708.71
440	25006037.7
441	24942909.19
442	24939056.05
443	24860933.3
444	24846138.89
445	24844099.58
446	24782760.29
447	24722881.22
448	24668063.68
449	24662981.12
450	24656983.33
451	24654073.45
452	24652931.63
453	24618945.18
454	24596942.63
455	24538633.34
456	24522208.61
457	24447436.21
458	24434839.27
459	24412307.07
460	24340262.54
461	24267955.96
462	24216415.66
463	24209644.85
464	24188937.11
465	24138576.3
466	24116298.82
467	24111302.05
468	24106617.86
469	24098146.02
470	24081581.5
471	24010364.75
472	23951656.5
473	23935132.49
474	23915302.08
475	23851486.81
476	23796564.54
477	23782455.6
478	23767555.08
479	23763363.89
480	23744205.52
481	23711652.94
482	23693217.94
483	23686685.3
484	23679256.61
485	23629603.59
486	23623465.11
487	23612574.45
488	23608495.36
489	23603047.11
490	23533939.66
491	23530168.57
492	23527453.31
493	23520861.17
494	23517932.33
495	23514904.16
496	23447743.92
497	23423942.67
498	23418591.19
499	23412350.58
500	23366354.16
501	23352938.65
502	23349399.82
503	23321535.05
504	23318333.02
505	23288929.31
506	23276879.62
507	23265710.32
508	23262306.43
509	23259382.95
510	23252793.32
511	23239895.58
512	23227584.92
513	23216396.49
514	23208478.32
515	23143315.32
516	23140615.54
517	23133041.91
518	23128283.77
519	23109044.99
520	23045270.06
521	23017649.59
522	22969436.7
523	22964636.6
524	22960181.27
525	22935021.46
526	22872393.41
527	22817398.54
528	22756039.26
529	22695068.88
530	22680380.9
531	22675796.79
532	22651307.21
533	22639999.9
534	22637120.31
535	22583269.04
536	22530007.52
537	22510816.46
538	22499082.1
539	22476365.57
540	22473161.71
541	22430792.32
542	22380100.2
543	22330624.04
544	22279957.14
545	22277490.09
546	22236549.37
547	22233105.07
548	22230931.84
549	22172962.08
550	22170088.18
551	22167439.54
552	22160815.15
553	22157194.99
554	22100507.07
555	22078109.88
556	22040333.02
557	22037049.54
558	22034195.74
559	22030377.23
560	22006189.31
561	22002528
562	21955442.78
563	21948430.69
564	21946373.09
565	21933867.84
566	21927814.24
567	21925667.8
568	21879669.61
569	21877693.21
570	21865769.22
571	21863595.97
572	21857324.34
573	21854806.98
574	21848945.5
575	21832369.12
576	21830003.31
577	21828921.87
578	21773697.65
579	21764134.79
580	21710309.35
581	21664727.02
582	21664445.96
583	21660735.04
584	21650795.73
585	21647738.78
586	21621003.98
587	21618506.9
588	21614507.76
589	21612742.97
590	21608923.22
591	21599438.78
592	21546564.95
593	21544939.6
594	21543925.84
595	21542432.33
596	21529460.93
597	21526120.85
598	21524763.33
599	21498579.68
600	21473045.69
601	21468365.23
602	21422446.31
603	21373375.97
604	21354427.94
605	21347740.74
606	21326167.31
607	21324918.74
608	21321014.78
609	21300223.91
610	21297216.32
611	21293826.53
612	21291359.48
613	21237896.06
614	21233829.15
615	21210723.97
616	21189906.43
617	21184910.75
618	21182009.56
619	21177004.56
620	21169602.04
621	21160583.78
622	21135751.92
623	21132775.95
624	21109894.41
625	21108689.05
626	21080920.59
627	21079062.77
628	21077226.53
629	21048284.07
630	21023967.65
631	21008171.11
632	21007058.38
633	21005407.52
634	20981671.01
635	20973089.24
636	20972065.59
637	20962062.07
638	20954730.07
639	20952125.4
640	20908319.75
641	20906374.28
642	20858359.4
643	20854444.28
644	20832832.31
645	20789425.31
646	20742953.77
647	20691331.59
648	20683458.75
649	20679762.88
650	20634399.63
651	20590127.54
652	20588050.75
653	20544839.45
654	20501472.7
655	20459212.66
656	20451647.43
657	20439731.03
658	20398260.5
659	20376295.21
660	20374562.63
661	20353878.31
662	20352061.52
663	20339419.95
664	20289404.13
665	20288036.12
666	20247825.17
667	20243851.43
668	20224857.38
669	20185573.19
670	20147237.13
671	20109374.84
672	20072299.2
673	20069931.71
674	20020518.46
675	20015909.74
676	19980160.7
677	19945277.68
678	19911240.28
679	19909260.61
680	19860698.78
681	19857164.52
682	19842613.59
683	19825910.4
684	19815857.38
685	19812621.15
686	19807885.73
687	19760303.46
688	19750351.41
689	19703306.47
690	19686030.69
691	19652708.82
692	19630152.62
693	19626909.33
694	19622114.67
695	19618740.28
696	19612649.42
697	19580161.46
698	19577064.18
699	19545362.01
700	19533414.3
701	19511048.7
702	19465839
703	19462598.52
704	19431529.84
705	19430699.22
706	19408815
707	19378468.89
708	19348882.63
709	19327491.37
710	19310302.79
711	19289436.44
712	19259702.81
713	19234508.32
714	19205454.15
715	19184978.59
716	19156603.25
717	19136616.64
718	19132302.84
719	19104585
720	19100830.28
721	19053320.62
722	19026206.27
723	19009725.04
724	19008031.76
725	18981555.5
726	18939001.71
727	18938655.14
728	18912767.34
729	18911514.92
730	18886515.8
731	18861226.33
732	18851860.94
733	18827176.34
734	18823596.22
735	18822394.07
736	18815761.32
737	18791689.09
738	18789252.81
739	18770624.6
740	18766600.24
741	18764161.82
742	18740644.45
743	18733276.56
744	18689420.14
745	18666455.23
746	18643243.25
747	18623429.6
748	18598774.76
