iter	Passed	Remaining
0	73	73781
1	133	66614
2	183	60972
3	236	58869
4	289	57546
5	339	56201
6	385	54619
7	436	54173
8	487	53724
9	543	53824
10	598	53787
11	642	52914
12	694	52714
13	746	52569
14	790	51927
15	842	51832
16	886	51233
17	939	51240
18	984	50847
19	1037	50853
20	1082	50477
21	1129	50196
22	1181	50207
23	1233	50174
24	1284	50096
25	1334	50010
26	1380	49732
27	1431	49680
28	1482	49631
29	1534	49616
30	1585	49569
31	1638	49564
32	1690	49549
33	1745	49597
34	1796	49536
35	1851	49584
36	1901	49488
37	1952	49430
38	1996	49202
39	2056	49353
40	2108	49316
41	2153	49117
42	2203	49048
43	2253	48970
44	2304	48912
45	2348	48696
46	2399	48659
47	2448	48556
48	2498	48493
49	2550	48465
50	2599	48372
51	2650	48318
52	2699	48239
53	2749	48167
54	2798	48091
55	2843	47927
56	2893	47865
57	2944	47815
58	2995	47769
59	3046	47735
60	3097	47681
61	3148	47638
62	3194	47514
63	3247	47489
64	3298	47453
65	3344	47333
66	3386	47159
67	3436	47097
68	3484	47012
69	3527	46870
70	3580	46843
71	3642	46950
72	3692	46884
73	3741	46821
74	3795	46812
75	3844	46739
76	3902	46784
77	3955	46755
78	3997	46603
79	4057	46658
80	4102	46551
81	4152	46488
82	4206	46475
83	4251	46357
84	4300	46294
85	4366	46409
86	4416	46351
87	4469	46318
88	4522	46289
89	4574	46251
90	4624	46195
91	4674	46135
92	4711	45947
93	4761	45890
94	4814	45862
95	4860	45766
96	4913	45740
97	4958	45637
98	5009	45590
99	5055	45502
100	5107	45461
101	5161	45445
102	5214	45410
103	5266	45371
104	5329	45430
105	5384	45414
106	5444	45441
107	5461	45110
108	5508	45031
109	5559	44982
110	5608	44919
111	5654	44834
112	5712	44841
113	5764	44801
114	5810	44717
115	5854	44617
116	5903	44550
117	5946	44444
118	5990	44353
119	6038	44282
120	6096	44290
121	6142	44202
122	6186	44108
123	6232	44028
124	6285	43996
125	6302	43719
126	6354	43680
127	6400	43604
128	6444	43515
129	6484	43394
130	6530	43320
131	6575	43238
132	6618	43144
133	6642	42927
134	6701	42941
135	6754	42910
136	6801	42847
137	6851	42799
138	6895	42713
139	6915	42483
140	6963	42423
141	6976	42155
142	7026	42109
143	7079	42086
144	7126	42019
145	7167	41923
146	7184	41690
147	7237	41666
148	7289	41634
149	7338	41582
150	7391	41557
151	7439	41502
152	7490	41469
153	7543	41440
154	7595	41406
155	7644	41357
156	7695	41319
157	7743	41264
158	7786	41185
159	7838	41153
160	7884	41088
161	7933	41041
162	7986	41010
163	8027	40919
164	8081	40898
165	8136	40878
166	8188	40844
167	8236	40788
168	8288	40753
169	8337	40708
170	8388	40669
171	8439	40627
172	8490	40587
173	8519	40443
174	8569	40399
175	8622	40370
176	8673	40330
177	8706	40204
178	8755	40158
179	8807	40123
180	8854	40064
181	8904	40022
182	8957	39989
183	8986	39852
184	9034	39799
185	9058	39644
186	9105	39587
187	9143	39492
188	9188	39428
189	9239	39387
190	9296	39378
191	9363	39406
192	9414	39366
193	9456	39287
194	9508	39253
195	9556	39202
196	9601	39138
197	9654	39104
198	9701	39048
199	9749	38996
200	9797	38945
201	9839	38870
202	9889	38828
203	9940	38789
204	9985	38724
205	10037	38689
206	10089	38651
207	10110	38496
208	10165	38471
209	10222	38454
210	10274	38420
211	10328	38392
212	10387	38379
213	10432	38318
214	10482	38274
215	10533	38232
216	10587	38203
217	10633	38144
218	10677	38079
219	10729	38040
220	10774	37980
221	10826	37942
222	10872	37884
223	10918	37824
224	10967	37775
225	11029	37772
226	11076	37718
227	11117	37643
228	11162	37581
229	11208	37522
230	11251	37457
231	11303	37417
232	11318	37257
233	11362	37195
234	11419	37173
235	11471	37136
236	11513	37066
237	11551	36983
238	11601	36939
239	11652	36901
240	11697	36840
241	11745	36788
242	11796	36748
243	11854	36730
244	11906	36690
245	11957	36651
246	12019	36643
247	12066	36588
248	12127	36577
249	12179	36539
250	12241	36530
251	12285	36466
252	12334	36417
253	12386	36379
254	12431	36320
255	12477	36262
256	12521	36200
257	12565	36137
258	12604	36060
259	12634	35960
260	12686	35919
261	12737	35879
262	12776	35803
263	12818	35737
264	12870	35696
265	12921	35654
266	12973	35617
267	13017	35554
268	13059	35487
269	13109	35445
270	13153	35384
271	13208	35351
272	13256	35303
273	13298	35235
274	13342	35176
275	13385	35112
276	13430	35056
277	13481	35012
278	13522	34945
279	13577	34913
280	13624	34860
281	13667	34798
282	13719	34759
283	13766	34706
284	13819	34668
285	13859	34600
286	13910	34559
287	13965	34525
288	14002	34449
289	14050	34398
290	14094	34340
291	14147	34302
292	14199	34262
293	14253	34228
294	14302	34181
295	14379	34198
296	14430	34156
297	14478	34106
298	14532	34070
299	14638	34157
300	14800	34369
301	14987	34640
302	15032	34578
303	15085	34536
304	15133	34485
305	15180	34427
306	15243	34410
307	15281	34332
308	15327	34276
309	15389	34253
310	15424	34173
311	15460	34091
312	15561	34155
313	15734	34375
314	15909	34596
315	15946	34517
316	15988	34447
317	16038	34396
318	16084	34337
319	16126	34268
320	16186	34239
321	16230	34175
322	16282	34128
323	16324	34059
324	16365	33989
325	16406	33920
326	16446	33849
327	16496	33798
328	16546	33746
329	16596	33695
330	16660	33672
331	16693	33587
332	16743	33537
333	16794	33489
334	16844	33437
335	16897	33393
336	16951	33348
337	16992	33280
338	17040	33226
339	17093	33180
340	17126	33096
341	17168	33031
342	17219	32982
343	17270	32934
344	17317	32878
345	17372	32836
346	17404	32751
347	17455	32704
348	17499	32641
349	17550	32594
350	17583	32511
351	17645	32484
352	17692	32427
353	17746	32384
354	17798	32337
355	17842	32276
356	17890	32222
357	17939	32170
358	17997	32134
359	18051	32091
360	18100	32038
361	18154	31995
362	18207	31951
363	18254	31895
364	18312	31858
365	18363	31809
366	18415	31763
367	18467	31715
368	18512	31657
369	18555	31594
370	18607	31547
371	18659	31499
372	18713	31456
373	18762	31404
374	18795	31325
375	18839	31265
376	18882	31202
377	18934	31157
378	18985	31108
379	19026	31043
380	19059	30964
381	19112	30920
382	19170	30882
383	19209	30814
384	19265	30774
385	19309	30715
386	19368	30678
387	19421	30633
388	19473	30586
389	19521	30534
390	19574	30487
391	19628	30444
392	19676	30390
393	19718	30328
394	19765	30273
395	19812	30219
396	19863	30170
397	19918	30128
398	19971	30081
