iter	RMSE
0	50130750.8
1	49227700.5
2	48419701.62
3	47662714.03
4	46948321.95
5	46291793.62
6	45663501.04
7	45097080.62
8	44581141.8
9	44104902.5
10	43622215.12
11	43181166.07
12	42810966.28
13	42442894.59
14	42069894.78
15	41694314.15
16	41413636.85
17	41148768.88
18	40884677.96
19	40651025.96
20	40404697.07
21	40129023.36
22	39944412.4
23	39762259.75
24	39499908.65
25	39297342.26
26	39147930.55
27	39009640.37
28	38870610.28
29	38732790.23
30	38592740.71
31	38477186.85
32	38370367.47
33	38181824.17
34	38095989.94
35	38000024.33
36	37826677.55
37	37662024.13
38	37585741.02
39	37507371.18
40	37416619.34
41	37307623.62
42	37251360.05
43	37194484.15
44	37136721.32
45	37059886.03
46	37009422.15
47	36915249.84
48	36840610
49	36781807.03
50	36734969.73
51	36659964.94
52	36615406.37
53	36577108.46
54	36473633.42
55	36429930.47
56	36303250.12
57	36175717.32
58	36145248.56
59	36115394.56
60	36067384.19
61	36037983.81
62	36008782.78
63	35982812.67
64	35911463.59
65	35854445.48
66	35824156.22
67	35795749.01
68	35723711.56
69	35700100.88
70	35643613.66
71	35626519.73
72	35567953.86
73	35542757.15
74	35518549.14
75	35499680.94
76	35328032.97
77	35319663.24
78	35197975.23
79	35149382.46
80	35099394.59
81	35087874.12
82	35067038.95
83	35053834.66
84	35042403.09
85	35019455.58
86	35006641.65
87	34997240.01
88	34953136.36
89	34949124.85
90	34922330.78
91	34907819.35
92	34896506.74
93	34857785.59
94	34835890.67
95	34823618.94
96	34808368.03
97	34801678.89
98	34792162.08
99	34746475.92
100	34717234.75
101	34709745.88
102	34652385.93
103	34640707.87
104	34597087.18
105	34591673.7
106	34582738.41
107	34554957.04
108	34546636.14
109	34544129.96
110	34532745.24
111	34493519.53
112	34487217.85
113	34478823.58
114	34469934.53
115	34461683.88
116	34425421.65
117	34412119.31
118	34400235.77
119	34394345.45
120	34345853.57
121	34338034.41
122	34334155.87
123	34332317.94
124	34328605.68
125	34293307.9
126	34237984.1
127	34230785.77
128	34213775.38
129	34202121.02
130	34193788.04
131	34181227.59
132	34145684.29
133	34112409
134	34103268.47
135	34012985.77
136	33979263.45
137	33827868.5
138	33685468.74
139	33538248.11
140	33453945
141	33369139.74
142	33235956.85
143	33231119.66
144	33099161.5
145	33063776.89
146	33060829.67
147	32983404.95
148	32972367.14
149	32939970.17
150	32908931.99
151	32829422.3
152	32828031.77
153	32826716.47
154	32812289.25
155	32674230.83
156	32637846.92
157	32620494.34
158	32539754.29
159	32534359.74
160	32529261.45
161	32521795.26
162	32518318.91
163	32514055.58
164	32506665.81
165	32460339.99
166	32392206.81
167	32386628.7
168	32344437.64
169	32341301.31
170	32335961.71
171	32275775.05
172	32271680.32
173	32243307.7
174	32238817.78
175	32199656.88
176	32194645.43
177	32189742.9
178	32073167.97
179	32051807.63
180	32026929.64
181	32022615.61
182	31997960.46
183	31990932.43
184	31975534.67
185	31973884.49
186	31913151.7
187	31907345.5
188	31870856.88
189	31818996.96
190	31815038.21
191	31811578.34
192	31732007.16
193	31706723.06
194	31625565.05
195	31619686.11
196	31617912.73
197	31585056.96
198	31582685.14
199	31553673.42
200	31544064.46
201	31474854.05
202	31472704.78
203	31361665.94
204	31360157.7
205	31355537.27
206	31304700.87
207	31292376.55
208	31284122.84
209	31274953.09
210	31217923.06
211	31188472.46
212	31184705.1
213	31180435.96
214	31134294.22
215	31123885.25
216	31045926.57
217	31016174.67
218	31010220.17
219	30948030.93
220	30918095.77
221	30913177.95
222	30908683.5
223	30901820.96
224	30837135.86
225	30778759.33
226	30777682.03
227	30750408.84
228	30737011.49
229	30631736.64
230	30520704.81
231	30405539.06
232	30369374.76
233	30363611.66
234	30256408.76
235	30252564.05
236	30244425.81
237	30216816.55
238	30210498.78
239	30204732.61
240	30176753.4
241	30172335.19
242	30144402.21
243	30096165.22
244	30095673.89
245	30057458.69
246	30000739.05
247	29946172.1
248	29852344.9
249	29750163.2
250	29721421.57
251	29618425.63
252	29575474.95
253	29571820.57
254	29470791.67
255	29453169.69
256	29445515.98
257	29394187.88
258	29392024.54
259	29355456.69
260	29351252.46
261	29337693.94
262	29262234.21
263	29252667.92
264	29155743.74
265	29065880.96
266	29063379.97
267	29005876.37
268	28915036.51
269	28829031.52
270	28815263.83
271	28812270.07
272	28801577.41
273	28733407.21
274	28657053.26
275	28583300.06
276	28511371.83
277	28508313.14
278	28462203.91
279	28382578.07
280	28299841.47
281	28297511.03
282	28268881.8
283	28187980.51
284	28112383.15
285	28030513.33
286	27950567.75
287	27872614.06
288	27851443.37
289	27843846.54
290	27768776.19
291	27758078.21
292	27684769.93
293	27672915.08
294	27598707.62
295	27526286.24
296	27518574.3
297	27510232.66
298	27501008.15
299	27427991.58
300	27425087.18
301	27419626.8
302	27417058.66
303	27414804.12
304	27410542.81
305	27389719.76
306	27372626.28
307	27353401.66
308	27351068.85
309	27330252.14
310	27262102.43
311	27192804.87
312	27191009.63
313	27116308.23
314	27114196.83
315	27112203.79
316	27110545.2
317	27108951.42
318	27106662.11
319	27104918.6
320	27102792.24
321	27098710.5
322	27097087.13
323	27095737.58
324	27092704.3
325	27079679.83
326	27058305.46
327	27053575.91
328	26986496.72
329	26910045.35
330	26841265.84
331	26838135.91
332	26773654.39
333	26770858.81
334	26695423.01
335	26694252.45
336	26688407.9
337	26625082.13
338	26553863.56
339	26483416.62
340	26413619.23
341	26345655.24
342	26279176.13
343	26276897.02
344	26256688.74
345	26249627.45
346	26241846.37
347	26172712.42
348	26109281.41
349	26104492.84
350	26042326.62
351	26032732.91
352	25964809.9
353	25904149.35
354	25833719.34
355	25772830.98
356	25755119.75
357	25742012.02
358	25682386.13
359	25625452.42
360	25568981.41
361	25506721.81
362	25453685.82
363	25410624.29
364	25356340.97
365	25302868.27
366	25251099.89
367	25242778.35
368	25191115.43
369	25141924.94
370	25132225.81
371	25083054.47
372	25080107.48
373	25032169.68
374	24988149.05
375	24918360.17
376	24856981.46
377	24813852.84
378	24768093.32
379	24724437.12
380	24716759.98
381	24673695.99
382	24667381.69
383	24662422.26
384	24642627.5
385	24599677.31
386	24594150.48
387	24591515.83
388	24553039.83
389	24544714.66
390	24503502.78
391	24462483.37
392	24430323.54
393	24390279.28
394	24372116.76
395	24366313.21
396	24356933.33
397	24315096.69
398	24307253.75
399	24271446.95
400	24254308.42
401	24245136.65
402	24205037.57
403	24144835.92
404	24107061.26
405	24106087.85
406	24069279.21
407	24067002.74
408	24031125.51
409	24023519.52
410	23990774.44
411	23974413.92
412	23915011.19
