iter	Passed	Remaining
0	51	51797
1	112	56079
2	161	53671
3	211	52653
4	262	52237
5	321	53287
6	378	53718
7	434	53920
8	491	54152
9	550	54472
10	606	54490
11	663	54644
12	722	54848
13	779	54923
14	836	54951
15	893	54977
16	951	55003
17	1011	55165
18	1066	55072
19	1124	55118
20	1179	54978
21	1235	54937
22	1294	54977
23	1345	54706
24	1401	54671
25	1457	54614
26	1517	54686
27	1573	54611
28	1631	54636
29	1683	54445
30	1741	54435
31	1796	54332
32	1851	54263
33	1910	54274
34	1970	54316
35	2027	54298
36	2087	54339
37	2145	54320
38	2205	54354
39	2263	54325
40	2314	54132
41	2379	54269
42	2442	54360
43	2493	54183
44	2551	54146
45	2608	54088
46	2665	54049
47	2713	53818
48	2767	53720
49	2818	53558
50	2878	53563
51	2943	53667
52	3001	53623
53	3059	53589
54	3118	53585
55	3177	53569
56	3237	53565
57	3294	53510
58	3352	53465
59	3404	53329
60	3454	53172
61	3512	53148
62	3572	53127
63	3627	53047
64	3687	53040
65	3745	53006
66	3801	52938
67	3862	52935
68	3926	52974
69	3983	52923
70	4041	52880
71	4098	52825
72	4159	52819
73	4227	52895
74	4286	52869
75	4343	52807
76	4411	52885
77	4466	52793
78	4518	52682
79	4570	52558
80	4619	52415
81	4679	52391
82	4735	52318
83	4799	52339
84	4854	52258
85	4909	52175
86	4959	52045
87	5013	51954
88	5075	51949
89	5126	51833
90	5177	51714
91	5234	51662
92	5292	51615
93	5340	51473
94	5396	51405
95	5446	51290
96	5510	51295
97	5566	51239
98	5625	51201
99	5688	51196
100	5750	51183
101	5803	51094
102	5859	51026
103	5916	50973
104	5977	50953
105	6032	50877
106	6082	50765
107	6133	50656
108	6187	50578
109	6228	50391
110	6282	50317
111	6342	50287
112	6395	50205
113	6453	50157
114	6511	50110
115	6563	50017
116	6619	49960
117	6674	49889
118	6723	49779
119	6777	49699
120	6831	49628
121	6876	49488
122	6933	49437
123	6964	49202
124	7001	49012
125	7047	48885
126	7110	48876
127	7164	48805
128	7223	48773
129	7281	48731
130	7331	48633
131	7391	48605
132	7449	48562
133	7514	48565
134	7563	48464
135	7622	48426
136	7681	48386
137	7744	48374
138	7814	48406
139	7878	48397
140	7932	48328
141	7994	48306
142	8056	48280
143	8113	48231
144	8178	48222
145	8239	48193
146	8288	48095
147	8346	48050
148	8410	48034
149	8463	47958
150	8525	47933
151	8585	47896
152	8623	47737
153	8650	47520
154	8711	47492
155	8766	47429
156	8826	47393
157	8885	47350
158	8948	47331
159	9005	47281
160	9065	47243
161	9119	47171
162	9176	47122
163	9235	47078
164	9290	47016
165	9348	46966
166	9415	46966
167	9470	46901
168	9525	46837
169	9574	46747
170	9632	46700
171	9686	46630
172	9733	46529
173	9789	46474
174	9846	46417
175	9900	46352
176	9944	46238
177	10000	46183
178	10064	46163
179	10125	46128
180	10184	46084
181	10238	46015
182	10286	45923
183	10342	45866
184	10401	45822
185	10447	45721
186	10505	45674
187	10564	45629
188	10620	45570
189	10674	45507
190	10721	45412
191	10779	45363
192	10840	45329
193	10897	45273
194	10962	45255
195	11006	45148
196	11046	45027
197	11104	44977
198	11157	44908
199	11213	44853
200	11270	44801
201	11321	44726
202	11368	44632
203	11427	44590
204	11477	44510
205	11540	44481
206	11596	44427
207	11654	44377
208	11705	44301
209	11765	44260
210	11822	44206
211	11885	44176
212	11936	44103
213	11991	44042
214	12052	44004
215	12111	43959
216	12160	43879
217	12227	43862
218	12275	43778
219	12325	43698
220	12381	43642
221	12435	43580
222	12492	43527
223	12561	43515
224	12619	43467
225	12671	43396
226	12715	43300
227	12763	43216
228	12820	43163
229	12879	43117
230	12944	43091
231	12997	43025
232	13055	42977
233	13112	42923
234	13165	42858
235	13220	42797
236	13268	42717
237	13325	42665
238	13377	42596
239	13435	42547
240	13492	42493
241	13543	42420
242	13601	42372
243	13662	42330
244	13687	42180
245	13748	42140
246	13803	42082
247	13852	42005
248	13911	41956
249	13967	41903
250	14025	41852
251	14077	41786
252	14136	41737
253	14193	41687
254	14246	41622
255	14304	41572
256	14366	41534
257	14433	41509
258	14489	41453
259	14546	41400
260	14605	41354
261	14662	41301
262	14732	41285
263	14790	41234
264	14847	41180
265	14898	41111
266	14954	41055
267	15014	41008
268	15065	40939
269	15119	40877
270	15177	40827
271	15235	40777
272	15294	40728
273	15349	40671
274	15407	40619
275	15473	40589
276	15535	40548
277	15582	40470
278	15637	40411
279	15698	40367
280	15741	40277
281	15787	40196
282	15844	40144
283	15893	40070
284	15961	40042
285	16011	39973
286	16059	39897
287	16106	39818
288	16164	39768
289	16222	39718
290	16282	39670
291	16354	39654
292	16428	39641
293	16495	39612
294	16546	39542
295	16596	39473
296	16654	39421
297	16714	39374
298	16771	39321
299	16826	39262
300	16878	39196
301	16939	39151
302	16994	39093
303	17044	39023
304	17090	38944
305	17154	38905
306	17196	38818
307	17232	38717
308	17283	38650
309	17339	38595
310	17396	38541
311	17446	38470
312	17498	38407
313	17558	38359
314	17603	38281
315	17655	38216
316	17700	38136
317	17750	38069
318	17801	38003
319	17849	37930
320	17888	37839
321	17940	37774
322	17987	37702
323	18041	37643
324	18091	37573
325	18147	37520
326	18206	37471
327	18267	37425
328	18323	37370
329	18380	37317
330	18450	37291
331	18502	37228
332	18568	37192
333	18625	37139
334	18689	37100
335	18746	37046
336	18807	37001
337	18870	36958
338	18926	36902
339	18984	36853
340	19035	36787
341	19079	36708
342	19124	36631
343	19176	36568
344	19229	36507
345	19292	36466
346	19350	36414
347	19411	36367
348	19463	36306
349	19527	36264
350	19571	36188
351	19632	36141
352	19700	36108
353	19748	36038
354	19805	35985
355	19850	35909
356	19907	35856
357	19965	35803
358	20010	35728
359	20064	35670
360	20124	35622
361	20187	35578
362	20246	35529
363	20308	35483
364	20355	35412
365	20395	35329
366	20438	35252
367	20493	35196
368	20546	35134
369	20591	35061
370	20650	35011
371	20705	34953
372	20763	34901
373	20798	34813
374	20847	34745
375	20906	34696
376	20972	34657
377	21023	34594
378	21083	34546
379	21142	34495
380	21200	34444
381	21255	34386
382	21312	34333
383	21371	34282
384	21437	34243
385	21489	34182
386	21543	34124
387	21604	34077
388	21654	34012
389	21712	33961
390	21772	33912
391	21826	33852
392	21879	33792
393	21931	33732
394	21999	33695
395	22052	33635
396	22109	33582
397	22172	33537
398	22229	33483
399	22275	33412
400	22336	33366
401	22387	33302
402	22446	33252
403	22496	33188
404	22549	33128
405	22606	33074
